id,name,desc,image_url
34541863,"""A"" Cell Breeding Device","During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",https://images.ygoprodeck.com/images/cards/34541863.jpg
64163367,"""A"" Cell Incubator","Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",https://images.ygoprodeck.com/images/cards/64163367.jpg
91231901,"""A"" Cell Recombination Device","Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",https://images.ygoprodeck.com/images/cards/91231901.jpg
73262676,"""A"" Cell Scatter Burst","Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",https://images.ygoprodeck.com/images/cards/73262676.jpg
98319530,"""Infernoble Arms - Almace""","While this card is equipped to a monster: You can equip 1 ""Infernoble Arms"" Equip Spell from your Deck or GY, except """"Infernoble Arms - Almace"""", to 1 appropriate monster you control, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 """"Infernoble Arms - Almace"""" effect per turn, and only once that turn.",https://images.ygoprodeck.com/images/cards/98319530.jpg
37478723,"""Infernoble Arms - Durendal""","While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of the turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn.",https://images.ygoprodeck.com/images/cards/37478723.jpg
64867422,"""Infernoble Arms - Hauteclere""","While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn.",https://images.ygoprodeck.com/images/cards/64867422.jpg
90861137,"""Infernoble Arms - Joyeuse""","While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn.",https://images.ygoprodeck.com/images/cards/90861137.jpg
44256816,1st Movement Solo,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",https://images.ygoprodeck.com/images/cards/44256816.jpg
86988864,3-Hump Lacooda,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",https://images.ygoprodeck.com/images/cards/86988864.jpg
11714098,"30,000-Year White Turtle","A huge turtle that has existed for more than 30,000 years.",https://images.ygoprodeck.com/images/cards/11714098.jpg
83994646,4-Starred Ladybug of Doom,FLIP: Destroy all Level 4 monsters your opponent controls.,https://images.ygoprodeck.com/images/cards/83994646.jpg
67048711,7,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",https://images.ygoprodeck.com/images/cards/67048711.jpg
23771716,7 Colored Fish,A rare rainbow fish that has never been caught by mortal man.,https://images.ygoprodeck.com/images/cards/23771716.jpg
86198326,7 Completed,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",https://images.ygoprodeck.com/images/cards/86198326.jpg
14261867,8-Claws Scorpion,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",https://images.ygoprodeck.com/images/cards/14261867.jpg
24140059,A Cat of Ill Omen,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",https://images.ygoprodeck.com/images/cards/24140059.jpg
6850209,A Deal with Dark Ruler,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",https://images.ygoprodeck.com/images/cards/6850209.jpg
49140998,A Feather of the Phoenix,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",https://images.ygoprodeck.com/images/cards/49140998.jpg
68170903,A Feint Plan,A player cannot attack face-down monsters during this turn.,https://images.ygoprodeck.com/images/cards/68170903.jpg
21597117,A Hero Emerges,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",https://images.ygoprodeck.com/images/cards/21597117.jpg
8949584,A Hero Lives,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",https://images.ygoprodeck.com/images/cards/8949584.jpg
295517,A Legendary Ocean,"(This card's name is always treated as ""Umi"".)
All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",https://images.ygoprodeck.com/images/cards/295517.jpg
32207100,A Major Upset,Tribute 1 face-up Attack Position Level 2 or lower monster you control; return all Level 7 or higher Special Summoned monsters to the hand.,https://images.ygoprodeck.com/images/cards/32207100.jpg
